.HEADER
..NAMES
Time,Dig_V(:cic3_echip65_1x1_top_tb:v)
..UNITS
s,
..DATATYPES
double,bit
..WAVEFORM_TYPES
,bit
..AXIS_SPACING
linear
.DATA
0.000000e+0,'0'
2.331434e-10,'1'
7.081074e-7,'0'
1.098768e-6,'1'
1.294117e-6,'0'
1.489385e-6,'1'
1.879990e-6,'0'
2.075420e-6,'1'
2.270608e-6,'0'
2.661269e-6,'1'
2.856638e-6,'0'
3.051884e-6,'1'
3.442496e-6,'0'
3.637874e-6,'1'
3.833113e-6,'0'
4.223760e-6,'1'
4.614373e-6,'0'
4.809740e-6,'1'
5.004993e-6,'0'
5.200376e-6,'1'
5.395615e-6,'0'
5.591011e-6,'1'
5.786239e-6,'0'
5.981641e-6,'1'
6.176864e-6,'0'
6.372261e-6,'1'
6.567490e-6,'0'
6.762875e-6,'1'
6.958119e-6,'0'
7.153488e-6,'1'
7.348749e-6,'0'
7.544100e-6,'1'
7.739385e-6,'0'
7.934713e-6,'1'
8.130030e-6,'0'
8.325328e-6,'1'
8.715925e-6,'0'
9.106574e-6,'1'
9.497184e-6,'0'
9.692552e-6,'1'
9.887808e-6,'0'
1.008318e-5,'1'
1.027843e-5,'0'
1.047380e-5,'1'
1.066906e-5,'0'
1.086441e-5,'1'
1.105970e-5,'0'
1.125502e-5,'1'
1.145034e-5,'0'
1.164564e-5,'1'
1.203624e-5,'0'
1.223165e-5,'1'
1.242686e-5,'0'
1.281751e-5,'1'
1.320814e-5,'0'
1.340346e-5,'1'
1.359878e-5,'0'
1.379408e-5,'1'
1.418467e-5,'0'
1.457532e-5,'1'
1.496594e-5,'0'
1.516129e-5,'1'
1.535656e-5,'0'
1.555191e-5,'1'
1.574720e-5,'0'
1.594252e-5,'1'
1.613785e-5,'0'
1.633314e-5,'1'
1.672375e-5,'0'
1.691911e-5,'1'
1.711437e-5,'0'
1.730973e-5,'1'
1.750500e-5,'0'
1.770034e-5,'1'
1.789564e-5,'0'
1.809096e-5,'1'
1.848155e-5,'0'
1.867695e-5,'1'
1.887218e-5,'0'
1.906756e-5,'1'
1.926281e-5,'0'
1.945817e-5,'1'
1.965345e-5,'0'
1.984877e-5,'1'
2.004413e-5,'0'
2.023938e-5,'1'
2.063002e-5,'0'
2.082533e-5,'1'
2.102067e-5,'0'
2.121595e-5,'1'
2.160656e-5,'0'
2.180192e-5,'1'
2.199719e-5,'0'
2.219254e-5,'1'
2.238782e-5,'0'
2.258315e-5,'1'
2.277848e-5,'0'
2.297376e-5,'1'
2.336439e-5,'0'
2.355971e-5,'1'
2.375503e-5,'0'
2.395033e-5,'1'
2.434093e-5,'0'
2.453631e-5,'1'
2.473156e-5,'0'
2.492692e-5,'1'
2.512219e-5,'0'
2.531752e-5,'1'
2.551286e-5,'0'
2.570813e-5,'1'
2.609877e-5,'0'
2.629408e-5,'1'
2.648945e-5,'0'
2.668469e-5,'1'
2.707533e-5,'0'
2.727065e-5,'1'
2.746598e-5,'0'
2.766126e-5,'1'
2.805187e-5,'0'
2.824722e-5,'1'
2.844251e-5,'0'
2.863784e-5,'1'
2.883317e-5,'0'
2.902845e-5,'1'
2.941908e-5,'0'
2.961440e-5,'1'
2.980973e-5,'0'
3.000501e-5,'1'
3.039564e-5,'0'
3.059096e-5,'1'
3.078629e-5,'0'
3.098157e-5,'1'
3.137219e-5,'0'
3.156753e-5,'1'
3.176284e-5,'0'
3.195814e-5,'1'
3.234875e-5,'0'
3.254410e-5,'1'
3.273939e-5,'0'
3.293470e-5,'1'
3.332531e-5,'0'
3.352066e-5,'1'
3.371595e-5,'0'
3.391127e-5,'1'
3.430187e-5,'0'
3.449723e-5,'1'
3.469251e-5,'0'
3.488783e-5,'1'
3.527843e-5,'0'
3.547379e-5,'1'
3.566908e-5,'0'
3.586439e-5,'1'
3.625501e-5,'0'
3.645034e-5,'1'
3.664567e-5,'0'
3.684094e-5,'1'
3.723160e-5,'0'
3.742689e-5,'1'
3.781751e-5,'0'
3.801284e-5,'1'
3.820816e-5,'0'
3.840345e-5,'1'
3.879408e-5,'0'
3.898939e-5,'1'
3.937999e-5,'0'
3.957535e-5,'1'
3.977063e-5,'0'
3.996596e-5,'1'
4.035656e-5,'0'
4.055191e-5,'1'
4.074721e-5,'0'
4.094251e-5,'1'
4.133315e-5,'0'
4.152845e-5,'1'
4.191907e-5,'0'
4.211440e-5,'1'
4.230973e-5,'0'
4.250501e-5,'1'
4.289567e-5,'0'
4.309094e-5,'1'
4.348159e-5,'0'
4.367689e-5,'1'
4.406750e-5,'0'
4.426284e-5,'1'
4.445816e-5,'0'
4.465345e-5,'1'
4.504410e-5,'0'
4.523938e-5,'1'
4.563002e-5,'0'
4.582533e-5,'1'
4.621594e-5,'0'
4.641128e-5,'1'
4.660660e-5,'0'
4.680188e-5,'1'
4.719254e-5,'0'
4.738782e-5,'1'
4.777847e-5,'0'
4.797376e-5,'1'
4.836439e-5,'0'
4.855970e-5,'1'
4.895032e-5,'0'
4.914565e-5,'1'
4.934099e-5,'0'
4.953626e-5,'1'
5.012218e-5,'0'
5.031753e-5,'1'
5.051283e-5,'0'
5.070814e-5,'1'
5.109877e-5,'0'
5.129407e-5,'1'
5.168471e-5,'0'
5.188001e-5,'1'
5.227064e-5,'0'
5.246595e-5,'1'
5.285658e-5,'0'
5.305189e-5,'1'
5.344251e-5,'0'
5.363783e-5,'1'
5.402844e-5,'0'
5.422377e-5,'1'
5.441913e-5,'0'
5.461438e-5,'1'
5.520033e-5,'0'
5.539564e-5,'1'
5.578626e-5,'0'
5.598158e-5,'1'
5.637220e-5,'0'
5.656752e-5,'1'
5.695813e-5,'0'
5.715346e-5,'1'
5.754407e-5,'0'
5.773939e-5,'1'
5.813001e-5,'0'
5.832533e-5,'1'
5.871595e-5,'0'
5.891126e-5,'1'
5.930190e-5,'0'
5.949720e-5,'1'
5.988787e-5,'0'
6.008313e-5,'1'
6.066907e-5,'0'
